repo_name,local_build,sat_usage,ci_build_combined,ci_state,ci_usage,cr_reviews,cr_comments,cr_changed_files,cr_changed_lines,testing_coverage
1c-syntax/bsl-language-server,1.0,0,1.0,1.0,1,64.0,36.0,752.0,40997.0,
abhpd/hacktoberfest2021,,0,,,0,14.0,14.0,52.0,7629.0,
actiontech/dble,1.0,1,1.0,1.0,1,17.0,1.0,58.0,1513.0,8.02
activiti/activiti,1.0,1,1.0,1.0,1,31.0,13.0,70.0,2696.0,
adeekshith/watomatic,,0,,,0,16.0,11.0,88.0,2392.0,
adempiere/adempiere,,1,,,0,28.0,22.0,62.0,141243.0,
aditya109/git-osp-for-beginners,,0,,,0,17.0,19.0,31.0,927.0,
adjust/android_sdk,,0,,,0,3.0,10.0,472.0,26664.0,
adobe-consulting-services/acs-aem-commons,1.0,1,1.0,1.0,1,30.0,35.0,52.0,9808.0,48.47
adobe/aem-core-wcm-components,1.0,0,1.0,1.0,1,58.0,50.0,241.0,12497.0,
adoptopenjdk/icedtea-web,0.0,0,1.0,1.0,1,19.0,20.0,45.0,1166.0,
adorsys/keycloak-config-cli,1.0,1,1.0,1.0,1,13.0,32.0,42.0,2451.0,4.71
agricraft/agricraft,0.0,0,1.0,1.0,1,9.0,24.0,748.0,8867.0,
airbnb/epoxy,,0,1.0,1.0,1,48.0,4.0,255.0,13641.0,
airbnb/lottie-android,,0,,,0,29.0,35.0,161.0,10693.0,
airbytehq/airbyte,0.0,0,1.0,0.0,1,33.0,43.0,152.0,210038.0,
airlift/airlift,1.0,0,1.0,1.0,1,43.0,5.0,150.0,4128.0,
airsonic/airsonic,0.0,1,,,0,14.0,8.0,59.0,384.0,
airyhq/airy,,0,1.0,1.0,1,23.0,2.0,81.0,1717.0,
akasolace/ho,0.0,0,1.0,1.0,1,17.0,11.0,149.0,4941.0,
alex-the-666/ice_and_fire,1.0,0,,,0,0.0,11.0,2135.0,137190.0,
alfio-event/alf.io,0.0,0,1.0,1.0,1,26.0,3.0,708.0,38408.0,
alibaba/arthas,0.0,0,1.0,1.0,1,5.0,22.0,101.0,63491.0,
alibaba/canal,0.0,0,,,0,6.0,68.0,90.0,4733.0,
alibaba/datax,0.0,0,,,0,0.0,5.0,133.0,10535.0,
alibaba/druid,0.0,0,,,0,0.0,26.0,52.0,259097.0,
alibaba/easyexcel,1.0,0,1.0,1.0,1,0.0,28.0,81.0,59961.0,36.06
alibaba/fastjson,0.0,0,,,0,0.0,33.0,160.0,24353.0,
alibaba/graphscope,,0,1.0,1.0,1,37.0,3.0,471.0,237481.0,
alibaba/nacos,1.0,1,,,0,24.0,3.0,464.0,19256.0,11.13
alibaba/sentinel,1.0,0,1.0,1.0,1,46.0,41.0,214.0,20700.0,
alibaba/spring-cloud-alibaba,1.0,1,,,0,17.0,21.0,81.0,4263.0,
aliyun/aliyun-openapi-java-sdk,,0,1.0,0.0,1,5.0,17.0,2832.0,689102.0,
allegro/hermes,1.0,1,,,0,65.0,1.0,158.0,10999.0,40.22
allure-framework/allure-java,1.0,1,1.0,1.0,1,21.0,6.0,69.0,4524.0,
allure-framework/allure2,1.0,1,1.0,1.0,1,20.0,0.0,20.0,76.0,
alluxio/alluxio,1.0,1,,,0,65.0,87.0,62.0,6651.0,
alphawallet/alpha-wallet-android,,0,1.0,1.0,1,10.0,3.0,195.0,6953.0,
altbeacon/android-beacon-library,,0,1.0,1.0,1,3.0,14.0,121.0,14992.0,
amzn/ion-java,1.0,0,,,0,182.0,38.0,90.0,17664.0,
andotp/andotp,,0,,,0,28.0,34.0,118.0,4924.0,
android-async-http/android-async-http,,0,,,0,2.0,18.0,47.0,1251.0,
android/android-test,,0,1.0,1.0,1,1.0,0.0,83.0,1034.0,
android/testing-samples,,0,,,0,31.0,13.0,200.0,1867.0,
androidx/androidx,,1,1.0,1.0,1,,,,,
androidx/constraintlayout,,0,,,0,14.0,4.0,170.0,41416.0,
angel-ml/angel,0.0,1,,,0,0.0,0.0,388.0,154561.0,
anitrend/anitrend-app,,0,1.0,1.0,1,32.0,11.0,88.0,627.0,
ankidroid/anki-android,,0,,,0,101.0,72.0,398.0,104149.0,
antennapod/antennapod,,1,,1.0,1,6.0,52.0,52.0,1477.0,
antlr/antlr4,1.0,0,0.0,0.0,1,10.0,49.0,43.0,858.0,
anuken/mindustry,,0,1.0,1.0,1,4.0,14.0,22.0,39769.0,
