repo_name,build_tool,path,instruction_missed,instruction_covered,branch_missed,branch_covered,line_missed,line_covered,complexity_missed,complexity_covered,method_missed,method_covered
apache/syncope,maven,"apache_syncope/ext/elasticsearch/persistence-jpa
",677,475,72,39,151,110,80,24,31,12
iluwatar/java-design-patterns,maven,"iluwatar_java-design-patterns/object-pool
",6,192,0,2,3,46,1,13,1,12
apache/jena,maven,"apache_jena/jena-db/jena-tdb2
",7728,13683,920,897,1845,3264,1074,1130,463,820
iluwatar/java-design-patterns,maven,"iluwatar_java-design-patterns/fanout-fanin
",13,154,0,0,5,30,2,11,2,11
knowm/xchange,maven,"knowm_xchange/xchange-tradeogre
",1807,29,234,0,164,3,238,2,121,2
javamoney/jsr354-ri,maven,"javamoney_jsr354-ri/moneta-core
",7324,9793,697,715,1427,2093,754,913,305,648
orientechnologies/orientdb,maven,"ientechnologies_orientdb/core
",320664,356951,45683,34038,67575,79881,40139,24570,10574,13390
googlecloudplatform/cloud-sql-jdbc-socket-factory,maven,"googlecloudplatform_cloud-sql-jdbc-socket-factory/core
",703,975,54,30,167,218,66,50,30,44
googlecloudplatform/bank-of-anthos,maven,"googlecloudplatform_bank-of-anthos/src/ledgerwriter
",379,285,15,27,86,76,36,20,27,8
wikidata/wikidata-toolkit,maven,"wikidata_wikidata-toolkit/wdtk-dumpfiles
",1020,3678,100,276,210,885,97,275,18,154
pippo-java/pippo,maven,"ippo-java_pippo/pippo-session-parent/pippo-session-jdbc
",36,224,2,10,10,52,3,14,1,10
iluwatar/java-design-patterns,maven,"iluwatar_java-design-patterns/poison-pill
",19,272,0,4,8,69,1,29,1,27
apache/unomi,maven,"apache_unomi/plugins/request
",716,275,91,1,172,67,68,21,22,21
yegor256/qulice,maven,"yegor256_qulice/qulice-maven-plugin/src/it/multi-module/mod-alpha
",4,0,0,0,1,0,1,0,1,0
mongock/mongock,maven,"mongock_mongock/mongock-core/mongock-api
",822,172,62,6,184,47,108,19,77,16
ctripcorp/apollo,maven,"tripcorp_apollo/apollo-client
",925,9559,170,729,270,2383,192,790,31,498
apache/jena,maven,"apache_jena/jena-fuseki2/jena-fuseki-core
",22725,184,2000,14,5970,39,2147,23,1142,16
iluwatar/java-design-patterns,maven,"iluwatar_java-design-patterns/flyweight
",3,289,1,7,1,73,2,29,1,24
apache/shardingsphere,maven,"apache_shardingsphere/shardingsphere-spi
",18,412,5,27,4,70,9,41,4,30
google/truth,maven,"google_truth/core
",1707,16891,259,1611,405,3907,263,1620,50,856
iluwatar/java-design-patterns,maven,"iluwatar_java-design-patterns/naked-objects/dom
",576,98,70,2,31,10,88,15,52,15
