repo_name,build_tool,success,fail,unclear,error,csv,no_code,no_test,no_csv
cloudfoundry/uaa,gradle,0,0,0,1,0,0,0,0
mongodb/mongo-java-driver,gradle,0,0,0,1,0,0,0,0
marklogic/marklogic-data-hub,gradle,0,0,0,1,0,0,0,0
json-path/jsonpath,gradle,0,0,1,0,2,1,1,0
reactor/reactor-core,gradle,0,0,1,0,3,1,1,2
zalando/nakadi,gradle,0,0,1,0,8,1,2,0
impossibl/pgjdbc-ng,gradle,0,0,1,0,0,2,0,5
qiniu/java-sdk,gradle,0,0,1,0,1,0,0,0
fisco-bcos/web3sdk,gradle,0,0,1,0,1,0,0,0
intellectualsites/plotsquared,gradle,0,0,1,0,0,1,1,1
freefair/gradle-plugins,gradle,0,0,1,0,0,9,21,15
openrewrite/rewrite,gradle,0,0,1,0,0,2,0,13
dita-ot/dita-ot,gradle,0,0,1,0,0,3,0,2
roaringbitmap/roaringbitmap,gradle,0,0,1,0,0,1,3,4
velocitypowered/velocity,gradle,0,0,1,0,0,1,0,3
micronaut-projects/micronaut-core,gradle,0,0,1,0,0,4,9,34
cloudnetservice/cloudnet-v,gradle,0,0,1,0,0,3,16,5
micronaut-projects/micronaut-starter,gradle,0,0,1,0,8,0,2,4
crnk-project/crnk-framework,gradle,0,0,1,0,0,5,6,34
apache/lucene,gradle,0,0,1,0,0,4,3,32
hibernate/hibernate-reactive,gradle,0,0,1,0,1,2,3,0
palantir/gradle-graal,gradle,0,0,1,0,1,0,7,0
line/centraldogma,gradle,0,0,1,0,0,8,2,12
odpi/egeria,gradle,0,0,1,0,52,13,210,27
synthetichealth/synthea,gradle,0,0,1,0,1,0,0,0
spongepowered/spongeapi,gradle,0,0,1,0,0,0,0,1
kyoripowered/adventure,gradle,0,0,1,0,0,2,3,8
broadinstitute/picard,gradle,0,0,1,0,0,0,0,1
square/moshi,gradle,0,0,1,0,0,3,2,7
resilience4j/resilience4j,gradle,0,0,1,0,27,2,2,0
haehnchen/idea-php-symfony2-plugin,gradle,0,0,1,0,0,0,0,1
hyperledger/fabric-chaincode-java,gradle,0,0,1,0,1,2,5,4
nats-io/nats.java,gradle,0,0,1,0,1,0,0,0
linkedin/ambry,gradle,0,0,1,0,0,1,0,0
spinnaker/halyard,gradle,0,0,1,0,0,1,0,0
1c-syntax/bsl-language-server,gradle,0,0,1,0,0,0,0,1
spinnaker/kayenta,gradle,0,0,1,0,0,1,0,0
ignatov/intellij-erlang,gradle,0,0,1,0,0,2,0,0
google/sagetv,gradle,0,0,1,0,0,1,0,0
cbeust/testng,gradle,0,0,1,0,0,4,9,5
palantir/conjure,gradle,0,0,1,0,0,1,1,3
jenetics/jenetics,gradle,0,0,1,0,0,1,3,6
domaframework/doma,gradle,0,0,1,0,0,1,1,8
selenide/selenide,gradle,0,0,1,0,0,1,2,4
hivemq/hivemq-mqtt-client,gradle,0,0,1,0,0,3,1,2
bonitasoft/bonita-engine,gradle,0,0,1,0,54,6,15,1
rsocket/rsocket-java,gradle,0,0,1,0,0,2,2,6
jbake-org/jbake,gradle,0,0,1,0,0,2,0,1
linkedin/brooklin,gradle,0,0,1,0,0,1,0,0
spockframework/spock,gradle,0,0,1,0,0,1,0,0
apache/kafka,gradle,0,0,1,0,0,1,0,0
micronaut-projects/micronaut-data,gradle,0,0,1,0,0,1,2,25
ical4j/ical4j,gradle,0,0,1,0,1,0,0,0
micronaut-projects/micronaut-security,gradle,0,0,1,0,8,0,3,0
allegro/hermes,gradle,0,0,1,0,12,2,0,2
randoop/randoop,gradle,0,0,1,0,0,0,0,1
spring-projects/spring-boot,gradle,0,0,1,0,0,61,8,112
apache/ofbiz-framework,gradle,0,0,1,0,0,2,0,0
minio/minio-java,gradle,0,0,1,0,0,1,0,0
apache/jmeter,gradle,0,0,1,0,0,9,6,5
netflix/conductor,gradle,0,0,1,0,20,1,0,0
allure-framework/allure,gradle,0,0,1,0,0,3,1,12
pravega/pravega,gradle,0,0,1,0,0,1,0,0
marytts/marytts,gradle,0,0,1,0,0,1,2,12
open-osrs/runelite,gradle,0,0,1,0,0,1,1,0
tng/archunit,gradle,0,0,1,0,0,4,1,10
eclipse-iofog/agent,gradle,0,0,1,0,0,1,2,1
baomidou/mybatis-plus,gradle,0,0,1,0,5,1,1,0
samtools/htsjdk,gradle,0,0,1,0,1,0,0,0
palantir/docker-compose-rule,gradle,0,0,1,0,2,1,2,0
ballerina-platform/ballerina-lang,gradle,0,0,1,0,0,9,55,39
komamitsu/fluency,gradle,0,0,1,0,0,1,1,3
allure-framework/allure-java,gradle,0,0,1,0,0,2,5,30
hibernate/hibernate-orm,gradle,0,0,1,0,0,1,1,0
enginehub/worldguard,gradle,0,0,1,0,0,4,2,1
mbeddr/mbeddr.core,gradle,0,0,1,0,0,11,0,0
openems/openems,gradle,0,0,1,0,0,2,0,0
consensys/tessera,gradle,0,0,1,0,33,2,4,3
palantir/atlasdb,gradle,0,0,1,0,36,8,20,3
inspectit/inspectit-ocelot,gradle,0,0,1,0,0,2,3,4
tchiotludo/akhq,gradle,0,0,1,0,0,1,0,1
open-telemetry/opentelemetry-java,gradle,0,0,1,0,0,13,16,41
reactivex/rxjava,gradle,0,0,1,0,0,0,0,1
reposense/reposense,gradle,0,0,1,0,0,0,0,1
bndtools/bnd,gradle,0,0,1,0,0,26,2,17
elastic/elasticsearch-hadoop,gradle,0,0,1,0,0,6,4,8
googlecontainertools/jib,gradle,0,0,1,0,6,13,41,3
apache/groovy,gradle,0,0,1,0,0,6,2,31
teamnewpipe/newpipeextractor,gradle,0,0,1,0,1,1,1,0
dv8fromtheworld/jda,gradle,0,0,1,0,0,0,0,1
googleapis/gax-java,gradle,0,0,1,0,0,3,0,3
