repo_name,build_tool,last_commit_sha,success,fail,unclear,error
joinfaces/joinfaces,gradle,6b379a0240fa3002c4321abc919e0d62fcc4164f,0,0,0,1
apereo/cas,gradle,32a5e5de26fd70c1229efe7d66676228c663d1fc,0,0,0,1
remkop/picocli,gradle,bd48d6f3934c25876931dce5fcc3677dbfc1f410,0,0,0,1
shedaniel/roughlyenoughitems,gradle,303fe1b4564b0f7df38df59453e761e4a279dea5,0,0,1,0
hortonworks/cloudbreak,gradle,ef36a65f738b4ebc9bf5d932133621ea085808b8,0,0,1,0
numenta/htm.java,gradle,886f7cf8dd566b0b1309131910cb4f3291d59ed5,0,0,1,0
stleary/json-java,gradle,d6227c83d79be51fe9efda7a55a6ec2850fdfd78,0,0,1,0
micdoodle8/galacticraft,gradle,c1efd55b12016cd9c8e8eb71f46c3f883e5685ce,0,0,1,0
liferay/liferay-blade-samples,gradle,40f35e646c965ee7969e243cb54299989d373c7a,0,0,1,0
team-rtg/realistic-terrain-generation,gradle,71a9c7104414ac0a91a50e26c15815adb3a1ac60,0,0,1,0
epam/ngb,gradle,30b40b2a88489d729adadb17d8184c2c996ecf19,0,0,1,0
meteordevelopment/meteor-client,gradle,42e5a26bc84945d5a52df30f3add0a34b36665c5,0,0,1,0
nationalsecurityagency/ghidra,gradle,c788a0122800bf94f36b56a009c2980e8b34d7f9,0,0,1,0
webbukkit/dynmap,gradle,a843bab3a390cbac3b9830162ebbe2b0c00c7c2d,0,0,1,0
spongepowered/sponge,gradle,e0ecf13796f6a0e6dd0da5e36a6c549f7de6f857,0,0,1,0
conveyal/r5,gradle,564b0ac328b384e75d2481bf6600f33992def38f,0,0,1,0
microsoft/mssql-jdbc,gradle,14953c2d73441eb144dbb86398751d04365a0508,0,0,1,0
asterisk-java/asterisk-java,gradle,8382171f50eb9d81b4d1076fa35e118c5a318908,0,0,1,0
opensearch-project/opensearch,gradle,546ab21989a27ae52cd557621ffac77ef4b09530,0,0,1,0
techreborn/techreborn,gradle,d3e326e5e7756a3da0b7b2947baecba9326ded64,0,0,1,0
bitcoinj/bitcoinj,gradle,cc64779e286b7ce618c4cfe41bedbe2d7de540ea,0,0,1,0
crafttweaker/crafttweaker,gradle,1ddad36d8f3045073e734a04106d48052442bfbe,0,0,1,0
blusunrize/immersiveengineering,gradle,0f328bd3da179f9da730dcec9587564456cdefaa,0,0,1,0
elastic/elasticsearch,gradle,a2c3daead1eaa6b012c7bda03ac76cc2ad88366a,0,0,1,0
real-logic/simple-binary-encoding,gradle,9b9786c5500a560d0d395e3686ea6e7ead95e2dd,0,0,1,0
box/box-java-sdk,gradle,f2e86b1c9a8f9314622c626a66eb8e21324aa84a,0,0,1,0
alfio-event/alf.io,gradle,b749bc3c23af0cd6d82f13c8d76165605c2d944b,0,0,1,0
mohistmc/mohist,gradle,66c15903b89a8a43739dd11d97f24e024520e3b4,0,0,1,0
rsksmart/rskj,gradle,41b8d19c4a76911839ea84177e9b6a6a48d14c25,0,0,1,0
nutzam/nutz,gradle,5b8d0ea63f48c48fe8ba0b264827edbb45988b7c,0,0,1,0
incendo/cloud,gradle,3ceecce6f5f86b60f9f6c0082162c829b3133563,0,0,1,0
eclipse/buildship,gradle,f8a41d8a7959b9ad9cf774c2cefcd4f3ebd38a82,0,0,1,0
sirixdb/sirix,gradle,0e4449c25ffd644a4c997e7caf74027c6d5e1786,0,0,1,0
gnembon/fabric-carpet,gradle,b93e3238b78da96a38dea4bb618387eb00765f5f,0,0,1,0
airbytehq/airbyte,gradle,0b9b8ba4728dcb6e39bc6ee961e6d6ccb26d387c,0,0,1,0
real-logic/aeron,gradle,98f2931f0c4b28f90380e1ad598cdb4ae4cbe396,0,0,1,0
bcgit/bc-java,gradle,9f95e5c710732bd8c703299b9d5ca1eea6f1317c,0,0,1,0
thargor6/jwildfire,gradle,9e92ee809ba9800d17ab60a6ec124d0bcaa3e35f,0,0,1,0
mplushnikov/lombok-intellij-plugin,gradle,272ace7f284085d36a5dc78daa2bf58fd31f2488,0,0,1,0
rptools/maptool,gradle,d76d1d0a162289bca71fc697ce668b9f5766f8a5,0,0,1,0
eclipse/golo-lang,gradle,a2fbcfba3c09ed4c6b56e20f7a300729c89332ad,0,0,1,0
mission-peace/interview,gradle,94be5deb0c0df30ade2a569cf3056b7cc1e012f4,0,0,1,0
thaumic-tinkerer/thaumictinkerer,gradle,ba1dee0ac16c3a30f592577f75aa3bb7989be773,0,0,1,0
gregtechce/gregtech,gradle,7230afe080702521f35f550abdcabc85ab846817,0,0,1,0
apache/incubator-eventmesh,gradle,09b9a22151d4fa2a8cd9850b7dac74e85d29e055,0,0,1,0
halo-dev/halo,gradle,c3536cb8ce3be22acb597f1c0ce413c316c4429b,0,0,1,0
bisq-network/bisq,gradle,851bdcf9ff0133462aa6e4e742fe59989a2d0db1,0,0,1,0
mapbox/mapbox-java,gradle,1a1f4e2ba3fccc3ced041d5b7becf0aff0d9d4c7,0,0,1,0
spring-cloud-samples/spring-cloud-contract-samples,gradle,aa9701d22a7e8ac769444550bf3203609d62d3c4,0,0,1,0
biscuitdevelopment/skyblockaddons,gradle,1835470a38ecb1b657612ece2ea494ddf09d785f,0,0,1,0
yelp/nrtsearch,gradle,eca2c338f35447a535e365f443aee3a5d2112a8a,0,0,1,0
forgeessentials/forgeessentials,gradle,859c9f89eb501f0fc93768a08b4a719567adad58,0,0,1,0
akasolace/ho,gradle,541ef29de41c0d63f16270c5d6ddaba800ad1156,0,0,1,0
lothrazar/cyclic,gradle,646fc610ba78c8aeecf2472a1b734df89e10444d,0,0,1,0
triplea-game/triplea,gradle,5aee56f2a77740bc370f0548f907357d02fc55c5,0,0,1,0
ripmeapp/ripme,gradle,f5a2167f0af0b8d13d199c4ed6838703dfc0134d,0,0,1,0
etcd-io/jetcd,gradle,aa057f86003f941a8e685e87df4d4d0980a95dd4,0,0,1,0
broadinstitute/gatk,gradle,f31f0198f78c7ae34add4b54602c48b4bc791dda,0,0,1,0
apache/incubator-tuweni,gradle,73165cb062017603e475d6b9dc3f67523a9835fe,0,0,1,0
flutter/flutter-intellij,gradle,5863d452c36405602694694692ba5d11dca72efc,0,0,1,0
zoinkwiz/quest-helper,gradle,4f1b7acff8b3bba8f656ac4f9ff6fde4d40251b7,0,0,1,0
agricraft/agricraft,gradle,95616bcb9769c39dc6a5cacc44b5f45d13bdd7e2,0,0,1,0
openjdk/skara,gradle,626937d35d2bc6c7a426ca25717b571fc9a4af0f,0,0,1,0
tronprotocol/wallet-cli,gradle,f8c542f1c0fa45e882640ffadf988118cea7cd7a,0,0,1,0
microsoft/applicationinsights-java,gradle,04dc9dbcaa91b705d95294108c31ef2bf5c838c2,0,0,1,0
fabricmc/fabric,gradle,6d0fac422f959257199eeedfbc224431ce60049d,0,0,1,0
graphql-java/graphql-java,gradle,992d95fe43e7b86a9299921d2ac1822bd3e9e204,0,0,1,0
spring-projects/spring-social,gradle,e41cfecb288022b83c79413b58f52511c3c9d4fc,0,0,1,0
pcgen/pcgen,gradle,606405c85102c791863c1e4f83b71ed1aa059277,0,0,1,0
railcraft/railcraft,gradle,87f617ca76dc6ebe64b55779ab529f86b811dc87,0,0,1,0
sleepytrousers/enderio,gradle,9249b7e01fd73c7bc92a2fd60e768c1ef5b39fd3,0,0,1,0
tootallnate/java-websocket,gradle,bcfc9675d61193980f38d5f0b3401ea787bbbe5f,0,0,1,0
bardsoftware/ganttproject,gradle,d918b6d363b91f645a6413d801bff80141051e8c,0,0,1,0
