repo_name,last_commit_sha,pull_number,count_review_requests,count_all_reviews,count_all_review_comments,count_all_comments,count_changed_files,count_total_changed_lines
1c-syntax/bsl-language-server,e6da12a6eff3fdeeaa067475eeb9c941c182d449,1746,3,0,0,7,26,4771
1c-syntax/bsl-language-server,e6da12a6eff3fdeeaa067475eeb9c941c182d449,1745,0,0,0,1,5,40
1c-syntax/bsl-language-server,e6da12a6eff3fdeeaa067475eeb9c941c182d449,1744,0,0,0,0,1,2
1c-syntax/bsl-language-server,e6da12a6eff3fdeeaa067475eeb9c941c182d449,1743,0,0,0,0,1,2
1c-syntax/bsl-language-server,e6da12a6eff3fdeeaa067475eeb9c941c182d449,1742,0,0,0,0,1,2
1c-syntax/bsl-language-server,e6da12a6eff3fdeeaa067475eeb9c941c182d449,1741,0,0,0,0,1,2
1c-syntax/bsl-language-server,e6da12a6eff3fdeeaa067475eeb9c941c182d449,1740,0,0,0,0,1,2
1c-syntax/bsl-language-server,e6da12a6eff3fdeeaa067475eeb9c941c182d449,1737,0,1,0,2,1,2
1c-syntax/bsl-language-server,e6da12a6eff3fdeeaa067475eeb9c941c182d449,1736,0,12,11,2,36,2837
1c-syntax/bsl-language-server,e6da12a6eff3fdeeaa067475eeb9c941c182d449,1734,0,0,0,1,620,2074
1c-syntax/bsl-language-server,e6da12a6eff3fdeeaa067475eeb9c941c182d449,1729,0,0,0,1,1,1
1c-syntax/bsl-language-server,e6da12a6eff3fdeeaa067475eeb9c941c182d449,1728,0,4,4,1,2,7227
1c-syntax/bsl-language-server,e6da12a6eff3fdeeaa067475eeb9c941c182d449,1727,0,0,0,0,1,2
1c-syntax/bsl-language-server,e6da12a6eff3fdeeaa067475eeb9c941c182d449,1726,0,0,0,0,8,843
1c-syntax/bsl-language-server,e6da12a6eff3fdeeaa067475eeb9c941c182d449,1725,0,38,50,10,35,23038
1c-syntax/bsl-language-server,e6da12a6eff3fdeeaa067475eeb9c941c182d449,1724,0,0,0,1,1,2
1c-syntax/bsl-language-server,e6da12a6eff3fdeeaa067475eeb9c941c182d449,1723,0,0,0,0,1,33
1c-syntax/bsl-language-server,e6da12a6eff3fdeeaa067475eeb9c941c182d449,1722,0,0,0,1,1,9
1c-syntax/bsl-language-server,e6da12a6eff3fdeeaa067475eeb9c941c182d449,1718,1,9,7,5,8,106
1c-syntax/bsl-language-server,e6da12a6eff3fdeeaa067475eeb9c941c182d449,1717,0,0,0,4,1,2
abhpd/hacktoberfest2021,aabc74a0ee975ebe3ecb6d6bfbadafa64207959b,255,0,1,0,0,1,185
abhpd/hacktoberfest2021,aabc74a0ee975ebe3ecb6d6bfbadafa64207959b,248,0,1,0,0,2,67
abhpd/hacktoberfest2021,aabc74a0ee975ebe3ecb6d6bfbadafa64207959b,246,1,0,0,1,1,92
abhpd/hacktoberfest2021,aabc74a0ee975ebe3ecb6d6bfbadafa64207959b,244,1,0,0,1,1,135
abhpd/hacktoberfest2021,aabc74a0ee975ebe3ecb6d6bfbadafa64207959b,238,0,2,0,1,1,138
abhpd/hacktoberfest2021,aabc74a0ee975ebe3ecb6d6bfbadafa64207959b,237,1,0,0,1,5,384
